Artist,Title,Year

Edouard Manet,Olympia,1863
Edouard Manet,The Barricade,1871

Ilya Repin,Barge Haulers on the Volga,1870-73
Ilya Repin,They Did Not Expect Him,1884-88

Georges Seurat,A Sunday on La Grande Jatte,1884
Georges Seurat,Bathers at Asnieres,1884

Paul Cezanne,Romantic Portrait,1868-70
Paul Cezanne,Apples and Biscuits,1895
Paul Cezanne,Pines and Rocks,1897
Paul Cezanne,Mount Saint-Victoire,1902-04
Paul Cezanne,Blue Landscape,1904-06

Claude Monet,"Red Boats, Argenteuil",1875
Claude Monet,Wheatstack,1890-91
Claude Monet,Wheatstack (Sun in Mist),1891
Claude Monet,Water Lilies,1906

Henri Matisse,Red Room (Harmony in Red),1908
Henri Matisse,Dance,1910
Henri Matisse,Music,1910
Henri Matisse,The Moroccans,1915-16

El Greco,The Vision of Saint John,1608-14
Pablo Picasso,Upper Deck,1901
Pablo Picasso,Les Demoiselles d'Avignon,1907
Pablo Picasso,Landscape with Two Figures,1908
Pablo Picasso,Factory at Horta de Erbo,1909
Pablo Picasso,Girl with a Mandolin (Fanny Tellier),1910
Pablo Picasso,Ma Jolie,1911-12

Pierre-Auguste Renoir,Luncheon of the Boating Party,1880-81
Georges Braque,Violin and Palette,1909
Umberto Boccioni,The City Rises,1910
Theo von Doesburg,Girl with a Ranunculus,1914
Marcel Duchamp,Fountain,1917
Otto Dix,The Match Seller,1920
Varvara Stepanova,Weaving Sample for Fabric,1923-24
Evgenii Katsman,They Are Listening to a Presentation,1925
Man Ray,Photograph of Andre Breton's Slipper Spoon,1934
